name,price,Brand,Collection,Series,Model No,Features,Movement,Calibre,Case Size,Case Thickness,Case Shape,Case Material,Case Back,Glass Material,Luminosity,Dial Colour,Hands,Indexes,Strap Material,Strap Colour,Clasp Type,Buckle/Clasp Material,EAN,Gender,Water Resistance (M),Warranty Period,Country of Origin,Reference,Display,Power Reserve,Jewels,Frequency,Precious Stone,Interchangeable Strap,Bezel,Lug Width,Limited Edition,Diameter,Date,Chronograph,Base,Frequency (bph),Power Reserve (hours),jewels,Dial Type
Laureato 38 mm,1580000,Girard-Perregaux,Laureato,Classic Laureato,81005-11-3154-1CM,Date,Automatic,GP03300,38.0,10.0,Octagon,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Copper,Pencil,Baton,Steel,Silver,Triple Folding Buckle,Steel,7630033530101.0,Unisex,100,2 Years + 3 Years warranty extension by scanning the QR code on the warranty card,Switzerland,GP03300,Analog,Approx. 46 hours,27.0,28800 bph,,0,,,0,,,,,28800.0,0.46,,
Laureato 38 mm,2000000,Girard-Perregaux,Laureato,Classic Laureato,81005-11S3320-1CM,Date,Automatic,GP03300,38.0,10.0,Octagon,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Copper,Pencil,Baton,Steel,Silver,Triple Folding Buckle,Steel,,Women,100,2 Years + 3 Years warranty extension by scanning the QR code on the warranty card,Switzerland,GP03300,Analog,Approx. 46 hours,27.0,28800 bph,On Bezel,0,,,0,,,,,28800.0,0.46,,
Defy Skyline,890000,Zenith,Defy,Skyline,03.9300.3620/51.I001,"Date, Small Seconds",Automatic,El Primero 3620,41.0,11.6,Octagon,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Baton,Baton,Steel,Silver,Folding Clasp,Steel,7613061031086.0,Unisex,100,2 Years + 3 years warranty extension by registering here,Switzerland,El Primero 3620,Analog,approx. 60 hours,26.0,36000 bph,,1,,,0,,,,,36000.0,0.6,,
Defy Skyline 36,1190000,Zenith,Defy,Skyline,16.9400.670/51.I001,Date,Automatic,Elite 670,36.0,10.35,Octagon,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers",Blue,Baton,Baton,Steel,Silver,Folding Clasp,Steel,7613061033066.0,Women,100,2 Years + 3 years warranty extension by registering here,Switzerland,Elite 670,Analog,Approx. 50 hours,27.0,28800 bph,On Bezel,1,,,0,,,,,28800.0,0.5,,
Constellation Quartz 36 mm,623800,Omega,Constellation,Constellation,131.20.36.60.02.001,Date,Quartz,,36.0,,Round,Steel & Sedna™ Gold,,Sapphire Crystal,,Silver,,,Steel & Sedna™ Gold,Silver & Rose Gold,Folding Clasp,,7612586282195.0,Men,30,5 Years,Switzerland,,,,,,,0,,,0,,,,,,,,
Constellation Quartz 28 mm,646100,Omega,Constellation,Constellation,131.20.28.60.55.001,,Quartz,,28.0,,Round,Steel & Sedna™ Gold,,Sapphire Crystal,,MOP,,,Steel & Sedna™ Gold,Silver & Rose Gold,,,7612586283024.0,Women,30,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
BVLGARI BVLGARI Watch,1288000,BVLGARI,BVLGARI BVLGARI,,103968,Date,Automatic,BVL 191,38.0,,Round,Rose Gold,See-through Case Back,Sapphire Crystal,,White,Pencil,Arabic Numerals,Leather,Brown,Pin Buckle,,7612902150047.0,Men,50,5 Years,Switzerland,BVL 191,Analog,approx. 42 hours,26.0,28800 bph,,0,,,0,,,,,28800.0,0.42,,
BVLGARI BVLGARI Watch,640000,BVLGARI,BVLGARI BVLGARI,,103577,,Quartz,,33.0,,Round,Steel & Rose Gold,,Sapphire Crystal,,Silver,,,Steel,Silver,Folding Clasp,,7612902124451.0,Women,30,5 Years,Switzerland,,,,,,On Dial,0,,,0,,,,,,,,
Aquis Date,240000,Oris,Aquis,Aquis Date,01 733 7789 4157-07 8 23 04PEB,Date,Automatic,733-1,43.5,13.5,Round,Steel & Ceramic,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green,Alpha,Baton,Steel,Silver,Folding Clasp,Steel,7612611035888.0,Men,300,"2 Years, register on My Oris  to extend your warranty for free to 3 Years",Switzerland,733-1,Analog,Approx. 41 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,23.0,0,,,,,28800.0,0.41,,
Aquis Date,235000,Oris,Aquis,Aquis Date,01 733 7770 4157-07 8 18 05P,Date,Automatic,733-1,36.5,12.0,Round,Steel,See-through Case Back,Sapphire Crystal,"On Hands, Hour Markers & Bezel",Green MOP,Alpha,Baton,Steel,Silver,Folding Clasp,Steel,7612611035024.0,Women,300,"2 Years, register on My Oris  to extend your warranty for free to 3 Years",Switzerland,733-1,Analog,Approx. 41 hours,26.0,28800 bph,,0,Unidirectional Rotating Bezel,18.0,0,,,,,28800.0,0.41,,
